Name;Type;GUID;Notes;Phase;Version;Priority;Stereotype;Fully Qualified Stereotype;Language;Author;Scope;Alias;Status;Complexity;Keywords;Is Abstract;Is Leaf;Is Root;Is Specification;Created Date;Modified Date;Requirement Difficulty;Requirement Priority;GenFile;Profile Metatype;CSV_KEY;CSV_PARENT_KEY
Video;Class;{BC0E7318-C0DC-4f71-A36B-CB209E6913BB};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:50:41;11-юни-2021 19:24:06;;;;Class;CSVB10398CA;
Webinar;Class;{EECC3723-5396-4421-857B-2C446D3A3F9C};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:50:49;11-юни-2021 19:23:36;;;;Class;CSV32B3E935;
GoToWebinar;Class;{32453F07-924F-4ea2-9BC4-1E744B4D0868};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:50:56;11-юни-2021 19:27:05;;;;Class;CSV20481DD5;
Zoom;Class;{1154FC4E-6536-494e-BCD3-D2FE3FFB9DA6};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:04;11-юни-2021 19:27:05;;;;Class;CSV77231D70;
Adobe Connect;Class;{C8F1AA64-2434-4464-8195-D7899C167D39};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:10;12-юни-2021 20:38:55;;;;Class;CSV898E324D;
Hopin;Class;{453ACAFE-C1E5-46da-9BB1-D2530544B482};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:16;11-юни-2021 19:27:05;;;;Class;CSVD7C28B4E;
Udemy;Class;{FE7B7822-5A46-41e2-8C5D-7C131DB0C88E};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:23;11-юни-2021 19:27:05;;;;Class;CSV2D8734FF;
edX;Class;{7BDD706F-1103-447b-B0F9-ED7EE57AC37E};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:51:29;11-юни-2021 19:27:05;;;;Class;CSV1EAFD388;
e-Learning;Class;{CAD79043-5B4D-462a-9AB2-D7709E884DA4};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:35:14;11-юни-2021 19:24:07;;;;Class;CSV3312D13B;
Serial;Class;{83418643-080C-4895-89DA-D0E7964E11A8};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:18:51;12-юни-2021 20:24:59;;;;Class;CSV06D2BF88;
